f1_score,precision,recall,support,accuracy,model,epoch,params
0.8919181838920133,0.891935723593627,0.892,,89.20000457763672,resnet50-80,80,23516228
0.901422081091464,0.9029173385221247,0.902,,90.20000457763672,mobilenetv2-80,80,2228996
0.9869644327537188,0.9871013922397324,0.987,,98.70000457763672,cnn-80,80,3541000
0.9098418160539667,0.9124692041979872,0.91,,91.00000762939452,vit-25x150-80,80,1306628
0.8816677178882202,0.8819246327443048,0.882,,88.20000457763672,xception-80,80,20815148
0.1576714040404279,0.1471462330095336,0.273,,27.30000114440918,vit-25x150-1,1,1306628
0.9669559655496178,0.9679397325278332,0.967,,96.70000457763672,vit-25x150-80,80,1306628
0.2091871844139595,0.1574754529810709,0.314,,31.400001525878903,vit-sam-25x150-1,1,1306628
0.973974352805073,0.9747399269796364,0.974,,97.4000015258789,vit-25x150-120,120,1306628
0.2633233351977841,0.2718848786245099,0.283,,28.30000114440918,vit-sam-25x150-80,80,1306628
0.26332333519778417,0.27188487862450994,0.283,,28.30000114440918,vit-sam-25x150-80,80,1306628
